x1,y1,,x2,y2,,x3,y3,,x4,y4,,x5,y5,,x6,y6,,x7,y7,,x8,y8,,x9,y9,,x10,y10,,x11,y11,,x12,y12
28.95742351,179.2823,,28.96735454,150.9304,,28.99189681,198.2664,,28.98614485,210.3764,,28.97707985,152.3961,,28.95159766,203.5493,,28.99171858,320.5835,,28.95343024,247.9308,,28.98999197,315.6057,,28.97498093,237.1727,,28.92094278,219.945,,28.91272563,223.4755
29.95595535,178.7168,,29.96622884,150.3397,,29.99161739,197.6778,,29.98566709,209.5698,,29.9762895,151.3773,,29.94992861,203.0066,,29.99143301,319.5368,,29.95182438,247.3616,,29.98964686,315.1471,,29.9741182,236.3989,,29.91821667,219.7049,,29.90971617,222.9961
30.9544872,178.1775,,30.96510313,149.7747,,30.99133797,197.0145,,30.98518933,208.3909,,30.97549915,150.4,,30.94825957,202.5508,,30.99114744,318.5321,,30.95021854,246.6456,,30.98930176,314.7553,,30.97325547,235.6375,,30.91549056,219.3274,,30.90670671,222.4852
31.95301904,177.6802,,31.96397742,149.2266,,31.99105855,196.1378,,31.98471156,206.9707,,31.9747088,149.5472,,31.94659052,202.0953,,31.99086188,317.6435,,31.94861268,245.785,,31.98895665,314.4134,,31.97239274,235.0947,,31.91276445,218.9031,,31.90369725,221.9223
32.95155089,177.134,,32.96285172,148.6493,,32.99077913,195.1443,,32.9842338,205.477,,32.97391845,148.8411,,32.94492147,201.6632,,32.99057632,316.9141,,32.94700683,244.7744,,32.98861155,314.057,,32.97153002,234.6478,,32.91003834,218.4919,,32.90068779,221.3524
33.95008273,176.6006,,33.96172602,148.0146,,33.9904997,194.4028,,33.98375604,204.156,,33.9731281,148.2688,,33.94325243,201.2365,,33.99029075,316.2047,,33.94540097,243.6321,,33.98826644,313.58,,33.97066729,234.1967,,33.90731223,218.0841,,33.89767833,220.789
34.94861458,176.2091,,34.96060031,147.3886,,34.99022028,194.2112,,34.98327827,203.1528,,34.97233775,147.7347,,34.94158338,200.9128,,34.99000518,315.4113,,34.94379512,242.4131,,34.98792134,313.0253,,34.96980456,233.5115,,34.90458612,217.734,,34.89466887,220.1358
35.94714642,175.8609,,35.9594746,146.8791,,35.98994086,194.0371,,35.98280051,202.1914,,35.9715474,147.2105,,35.93991434,200.652,,35.98971961,314.6202,,35.94218926,241.3552,,35.98757624,312.5663,,35.96894184,232.7439,,35.90186001,217.524,,35.89165941,219.4659
36.94567827,175.4644,,36.9583489,146.4607,,36.98966144,193.7841,,36.98232274,201.2432,,36.97075706,146.7282,,36.93824529,200.5357,,36.98943405,313.8235,,36.94058341,240.515,,36.98723113,312.0467,,36.96807911,231.8756,,36.89913389,217.3747,,36.88864995,218.8239
37.94421012,175.0319,,37.95722319,146.1127,,37.98938202,193.2614,,37.98184498,200.2663,,37.9699667,146.2426,,37.93657625,200.4128,,37.98914848,313.1347,,37.93897756,239.5846,,37.98688603,311.5718,,37.96721638,231.1264,,37.89640778,217.0605,,37.88564049,218.2681
