x1,y1,,x2,y2,,x3,y3,,x4,y4,,x5,y5,,x6,y6,,x7,y7,,x8,y8
27.98981948,423.3675,,27.98687342,473.7123,,27.91647464,454.6232,,27.97923053,485.9142,,27.95608667,450.4111,,27.94056393,469.397,,27.94577593,424.4506,,27.98238187,444.0327
28.98945589,423.2383,,28.98640462,473.6682,,28.91349159,454.3497,,28.97848876,485.7976,,28.95451833,450.1229,,28.93844122,469.2791,,28.94383935,424.3234,,28.98175265,443.9549
29.9890923,423.0079,,29.98593581,473.6457,,29.91050854,454.0143,,29.977747,485.6916,,29.95295,449.856,,29.9363185,469.2249,,29.94190278,424.1896,,29.98112343,443.8622
30.98872871,422.4607,,30.985467,473.6221,,30.9075255,453.6592,,30.97700523,485.5826,,30.95138167,449.6244,,30.93419579,469.1543,,30.9399662,424.0859,,30.98049421,443.7583
31.98836512,421.7302,,31.9849982,473.608,,31.90454245,453.2888,,31.97626346,485.4547,,31.94981333,449.404,,31.93207307,469.0551,,31.93802963,423.9888,,31.97986499,443.6425
32.98800153,421.0877,,32.98452939,473.5826,,32.9015594,452.9291,,32.9755217,485.3082,,32.948245,449.0721,,32.92995035,468.9139,,32.93609306,423.8993,,32.97923577,443.542
33.98763794,420.724,,33.98406058,473.5442,,33.89857635,452.5784,,33.97477993,485.1713,,33.94667667,448.8127,,33.92782764,468.7837,,33.93415648,423.8125,,33.97860655,443.4583
34.98727435,420.5347,,34.98359178,473.5527,,34.8955933,452.2487,,34.97403817,485.003,,34.94510834,448.629,,34.92570492,468.6456,,34.93221991,423.7045,,34.97797733,443.3602
35.98691076,420.3772,,35.98312297,473.571,,35.89261025,451.9937,,35.9732964,484.7853,,35.94354,448.4877,,35.9235822,468.4563,,35.93028333,423.5751,,35.97734811,443.2453
36.98654717,420.2489,,36.98265417,473.5897,,36.88962721,451.7562,,36.97255463,484.5942,,36.94197167,448.3753,,36.92145949,468.2822,,36.92834676,423.4394,,36.9767189,443.115
37.98618358,420.1637,,37.98218536,473.574,,37.88664416,451.5037,,37.97181286,484.3802,,37.94040334,448.2825,,37.91933677,468.1918,,37.92641018,423.2979,,37.97608968,442.9641
38.98581999,420.0825,,38.98171655,473.5341,,38.88366111,451.2417,,38.9710711,484.1764,,38.938835,448.2007,,38.91721405,468.1258,,38.92447361,423.1587,,38.97546046,442.851
39.9854564,419.9872,,39.98124775,473.5021,,39.88067806,450.9283,,39.97032933,483.9863,,39.93726667,448.1207,,39.91509134,468.0229,,39.92253704,423.0461,,39.97483124,442.8556
40.98509281,419.9146,,40.98077894,473.5014,,40.87769501,450.5651,,40.96958756,483.7837,,40.93569833,448.0122,,40.91296862,467.8683,,40.92060046,422.9365,,40.97420202,442.8894
41.98472922,419.848,,41.98031013,473.5174,,41.87471196,450.2083,,41.9688458,483.573,,41.93413,447.9378,,41.9108459,467.6322,,41.91866389,422.8191,,41.9735728,442.8142
42.98436563,419.748,,42.97984133,473.5429,,42.87172891,449.8512,,42.96810403,483.3874,,42.93256167,447.8848,,42.90872319,467.3507,,42.91672731,422.7048,,42.97294358,442.5545
43.98400204,419.6619,,43.97937252,473.5908,,43.86874586,449.4906,,43.96736226,483.2008,,43.93099334,447.8231,,43.90660047,467.0621,,43.91479074,422.6168,,43.97231436,442.2152
44.98363845,419.5794,,44.97890371,473.6787,,44.86576282,449.1474,,44.9666205,482.9987,,44.929425,447.7735,,44.90447775,466.7771,,44.91285416,422.5098,,44.97168514,441.9607
45.98327486,419.478,,45.97843491,473.7679,,45.86277977,448.8262,,45.96587873,482.77,,45.92785667,447.7343,,45.90235504,466.5346,,45.91091759,422.411,,45.97105592,441.8472
46.98291127,419.3761,,46.9779661,473.8058,,46.85979672,448.5096,,46.96513696,482.5424,,46.92628834,447.697,,46.90023232,466.2737,,46.90898102,422.3375,,46.9704267,441.7293
47.98254768,419.2581,,47.97749729,473.8416,,47.85681367,448.128,,47.9643952,482.3594,,47.92472,447.6553,,47.8981096,465.9802,,47.90704444,422.3152,,47.96979749,441.4813
48.98218409,419.1292,,48.97702849,473.8949,,48.85383062,447.6393,,48.96365343,482.1721,,48.92315167,447.5977,,48.89598689,465.7313,,48.90510787,422.324,,48.96916827,441.1386
49.9818205,419.0045,,49.97655968,473.9885,,49.85084757,447.1231,,49.96291166,481.9818,,49.92158333,447.526,,49.89386417,465.5298,,49.90317129,422.3144,,49.96853905,440.7344
50.98145691,418.8842,,50.97609088,474.1119,,50.84786453,446.6051,,50.9621699,481.7885,,50.920015,447.4586,,50.89174145,465.3684,,50.90123472,422.2856,,50.96790983,440.3323
51.98109332,418.7716,,51.97562207,474.2352,,51.84488148,446.0675,,51.96142813,481.5661,,51.91844667,447.4136,,51.88961874,465.2242,,51.89929815,422.2516,,51.96728061,439.934
52.98072973,418.6618,,52.97515326,474.3135,,52.84189843,445.5773,,52.96068636,481.3358,,52.91687833,447.3197,,52.88749602,465.0705,,52.89736158,422.1527,,52.96665139,439.5134
53.98036614,418.5302,,53.97468446,474.3497,,53.83891538,445.1768,,53.9599446,481.1242,,53.91531,447.2403,,53.8853733,464.8228,,53.895425,421.8742,,53.96602217,439.1614
54.98000255,418.3989,,54.97421565,474.3911,,54.83593233,444.8606,,54.95920283,480.9341,,54.91374167,447.1719,,54.88325059,464.4851,,54.89348842,421.5096,,54.96539295,439.0539
55.97963896,418.3007,,55.97374684,474.4599,,55.83294928,444.5524,,55.95846106,480.7324,,55.91217333,447.1214,,55.88112787,464.0879,,55.89155185,421.2672,,55.96476373,438.9877
